id,user_id,order_date,status
1,1,2018-01-01,returned
2,3,2018-01-02,completed
3,94,2018-01-04,completed
4,50,2018-01-05,completed
5,64,2018-01-05,completed
6,54,2018-01-07,completed
7,88,2018-01-09,completed
8,2,2018-01-11,returned
9,53,2018-01-12,completed
10,7,2018-01-14,completed
11,99,2018-01-14,completed
12,59,2018-01-15,completed
13,84,2018-01-17,completed
14,40,2018-01-17,completed
15,25,2018-01-17,completed
16,39,2018-01-18,completed
17,71,2018-01-18,completed
18,64,2018-01-20,completed
19,54,2018-01-22,completed
20,20,2018-01-23,completed
21,71,2018-01-23,completed
22,86,2018-01-24,completed
23,22,2018-01-26,return_pending
24,3,2018-01-27,completed
25,51,2018-01-28,completed
26,32,2018-01-28,completed
27,94,2018-01-29,completed
28,8,2018-01-29,completed
29,57,2018-01-30,completed
30,69,2018-01-31,completed
31,16,2018-02-01,completed
32,28,2018-02-01,completed
33,42,2018-02-02,completed
34,38,2018-02-04,completed
35,80,2018-02-04,completed
36,85,2018-02-05,completed
37,1,2018-02-07,completed
38,51,2018-02-08,completed
39,26,2018-02-08,completed
40,33,2018-02-09,completed
41,99,2018-02-10,completed
42,92,2018-02-11,completed
43,3,2018-02-12,completed
44,62,2018-02-13,completed
45,22,2018-02-14,completed
46,56,2018-02-16,completed
47,97,2018-02-17,completed
48,30,2018-02-17,completed
49,14,2018-02-18,completed
50,16,2018-02-19,completed
51,35,2018-02-19,completed
52,46,2018-02-20,completed
53,79,2018-02-21,completed
54,5,2018-02-22,completed
55,13,2018-02-22,completed
56,61,2018-02-23,completed
57,4,2018-02-23,completed
58,43,2018-02-25,completed
59,72,2018-02-26,completed
60,65,2018-02-26,completed
61,27,2018-02-27,completed
62,38,2018-02-28,completed
63,90,2018-03-01,completed
64,35,2018-03-02,completed
65,48,2018-03-02,completed
66,100,2018-03-02,completed
67,47,2018-03-04,completed
68,36,2018-03-05,completed
69,19,2018-03-06,completed
70,48,2018-03-07,completed
71,13,2018-03-08,completed
72,15,2018-03-09,completed
73,55,2018-03-09,completed
74,41,2018-03-11,completed
75,18,2018-03-11,completed
76,6,2018-03-12,completed
77,44,2018-03-12,completed
78,74,2018-03-12,completed
79,23,2018-03-13,return_pending
80,58,2018-03-14,completed
81,47,2018-03-14,completed
82,61,2018-03-15,completed
83,27,2018-03-16,completed
84,52,2018-03-16,completed
85,60,2018-03-17,completed
86,31,2018-03-17,completed
87,96,2018-03-18,completed
88,45,2018-03-20,completed
89,29,2018-03-21,completed
90,84,2018-03-21,completed
91,12,2018-03-22,completed
92,37,2018-03-23,completed
93,78,2018-03-23,completed
94,33,2018-03-24,completed
95,68,2018-03-25,completed
96,82,2018-03-25,completed
97,76,2018-03-26,completed
98,67,2018-03-27,completed
99,17,2018-03-27,completed
